8, 19.08.2024, 20:40, Eintracht Braunschweig, DFB-Pokal, 1. Runde, Auswärtsspiel, Braunschweig, Eintracht-Stadion, 
8, 26.09.2024, 21:00, Viktoria Pilsen, Europa League, 1. Spieltag, Heimspiel, Frankfurt, Deutsche Bank Park,
8, 03.10.2024, 21:00, Besiktas JK, Europa League, 2. Spieltag, Auswärtsspiel, Istanbul, Besiktas Stadyumu, 
8, 24.10.2024, 18:45, Rigas Futbola Skola, Europa League, 3. Spieltag, Heimspiel, Frankfurt, Deutsche Bank Park, 
8, 07.11.2024, 18:45, Slavia Prag, Europa League, 4. Spieltag, Heimspiel, Frankfurt, Deutsche Bank Park, 
8, 28.11.2024, 21:00, FC Midtjylland, Europa League, 5. Spieltag, Auswärtsspiel, Herning (Midtjylland), MCH Arena, 
8, 12.12.2024, 21:00, Olympique Lyon, Europa League, 6. Spieltag, Auswärtsspiel, Lyon, Groupama Stadium, 
8, 23.01.2025, 21:00, Ferencvaros Budapest, Europa League, 7. Spieltag, Heimspiel, Frankfurt, Deutsche Bank Park, 
8, 30.01.2025, 21:00, AS Rom, Europa League, 8. Spieltag, Auswärtsspiel, Rom, Olimpico, 
8, 30.10.2024, 18:00, M'Gladbach, DFB-Pokal, 2. Spieltag, Heimspiel, Frankfurt, Deutsche Bank Park, 
8, 04.12.2024, 20:45, RB Leipzig, DFB-Pokal, Achtelfinale, Auswärtsspiel, Leipzig, RB Arena, 
8, 06.03.2025, 21:00, Ajax Amsterdam, Europa League, Achtelfinale, Auswärtsspiel, Amsterdam, Johan-Cruyff-Arena, 
8, 13.03.2025, 18:45, Ajax Amsterdam, Europa League, Achtelfinale, Heimspiel, Frankfurt, Deutsche Bank Park, 
8, 10.04.2025, 21:00, Tottenham Hotspur, Europa League, Viertelfinale, Auswärtsspiel, Amsterdam, Tottenham Hotspur Stadium, 
8, 17.04.2025, 21:00, Tottenham Hotspur, Europa League, Viertelfinale, Heimspiel, Frankfurt, Deutsche Bank Park, 
9, 18.09.2025, 21:00, Galatasaray SK, Champions League, 1. Spieltag, Heimspiel, Frankfurt, Deutsche Bank Park, 
9, 30.09.2025, 21:00, Atlético de Madrid, Champions League, 2. Spieltag, Auswärtsspiel, Madrid, Estadio Metropolitano, 
9, 22.10.2025, 21:00, Liverpool FC, Champions League, 3. Spieltag, Heimspiel, Frankfurt, Deutsche Bank Park, 
9, 04.11.2025, 18:45, SSC Napoli, Champions League, 4. Spieltag, Auswärtsspiel, Neapel, Stadio Diego Armando Maradona, 
9, 26.11.2025, 21:00, Atalanta Bergamo, Champions League, 5. Spieltag, Heimspiel, Frankfurt, Deutsche Bank Park, 
9, 09.12.2025, 21:00, FC Barcelona, Champions League, 6. Spieltag, Auswärtsspiel, Barcelona, Estadi Olímpic Lluís Companys, 
9, 21.01.2026, 18:45, Qarabağ Agdam, Champions League, 7. Spieltag, Auswärtsspiel, Baku, Tofiq-Behramov-Stadion, 
9, 28.01.2026, 21:00, Tottenham Hotspur, Champions League, 8. Spieltag, Heimspiel, Frankfurt, Deutsche Bank Park, 
9, 17.02.2026, 21:00, CL - Play-offs Hinspiel, Champions League, Play-offs Hinspiel, , TBD, TBD, 
9, 18.02.2026, 21:00, CL - Play-offs Hinspiel, Champions League, Play-offs Hinspiel, , TBD, TBD, 
9, 24.02.2026, 21:00, CL - Play-offs Rückspiel, Champions League, Play-offs Rückspiel, , TBD, TBD, 
9, 25.02.2026, 21:00, CL - Play-offs Rückspiel, Champions League, Play-offs Rückspiel, , TBD, TBD, 
9, 10.03.2026, 21:00, CL - Achtelfinale Hinspiel, Champions League, Achtelfinale Hinspiel, , TBD, TBD, 
9, 11.03.2026, 21:00, CL - Achtelfinale Hinspiel, Champions League, Achtelfinale Hinspiel, , TBD, TBD, 
9, 17.03.2026, 21:00, CL - Achtelfinale Rückspiel, Champions League, Achtelfinale Rückspiel, , TBD, TBD, 
9, 18.03.2026, 21:00, CL - Achtelfinale Rückspiel, Champions League, Achtelfinale Rückspiel, , TBD, TBD, 
9, 07.04.2026, 21:00, CL - Viertelfinale Hinspiel, Champions League, Viertelfinale Hinspiel, , TBD, TBD, 
9, 08.04.2026, 21:00, CL - Viertelfinale Hinspiel, Champions League, Viertelfinale Hinspiel, , TBD, TBD, 
9, 14.04.2026, 21:00, CL - Viertelfinale Rückspiel, Champions League, Viertelfinale Rückspiel, , TBD, TBD, 
9, 15.04.2026, 21:00, CL - Viertelfinale Rückspiel, Champions League, Viertelfinale Rückspiel, , TBD, TBD, 
9, 28.04.2026, 21:00, CL - Halbfinale Hinspiel, Champions League, Halbfinale Hinspiel, , TBD, TBD, 
9, 29.04.2026, 21:00, CL - Halbfinale Hinspiel, Champions League, Halbfinale Hinspiel, , TBD, TBD, 
9, 05.05.2026, 21:00, CL - Halbfinale Rückspiel, Champions League, Halbfinale Rückspiel, , TBD, TBD, 
9, 06.05.2026, 21:00, CL - Halbfinale Rückspiel, Champions League, Halbfinale Rückspiel, , TBD, TBD, 
9, 30.05.2026, 21:00, CL - Finale, Champions League, Finale, , Budapest, Puskás Aréna, 
9, 17.08.2025, 13:00, FV Engers 07, DFB-Pokal, 1. Hauptrunde, Auswärtsspiel, Neuwied, Stadion am Wasserturm, 
9, 28.10.2025, 18:30, Borussia Dortmund, DFB-Pokal, 2. Hauptrunde, Heimspiel, Frankfurt, Deutsche Bank Park, 

